GEOID,county_name,year,median_income,median_rent,median_home_value,poverty_population,total_population,renter_total,rent30_34,rent35_39,rent40_49,rent50_plus,poverty_rate,rent_to_income_ratio,rent_burden_rate,income_score,rent_score,poverty_score,burden_score,ratio_score,housing_stress_index
41071,Yamhill,2020,67296,1103,320900,11905,100857,11193,801,972,1095,2420,0.11803841081927878,0.1966833095577746,0.4724381309747163,0.558164001442828,0.40444444444444444,0.40009606458200897,0.7654995588748056,0.41411204379434524,0.5084632226276865
41069,Wheeler,2020,45354,715,178700,207,1399,164,6,0,3,19,0.14796283059328091,0.1891784627596243,0.17073170731707318,0.8879403631116989,0.059555555555555556,0.5798122037171191,0.03364230841777602,0.35780581732802524,0.3837512496260349
41037,Lake,2020,44237,727,161000,1246,7317,1337,48,59,87,192,0.17028836955036217,0.1972104799150033,0.2887060583395662,0.904728267404112,0.07022222222222223,0.71389198523933,0.31981581151079486,0.4180672176065228,0.4853451007965964
41059,Umatilla,2020,57973,776,183300,10374,72743,9303,797,610,600,1631,0.1426116602284756,0.16062649854242492,0.39105664839299153,0.6982836359264157,0.11377777777777778,0.5476748495067449,0.5680903444526355,0.14359047003164518,0.4142834155390438
41049,Morrow,2020,56572,753,160600,1718,11384,1106,149,26,95,77,0.15091356289529165,0.15972565933677438,0.31374321880650996,0.7193399062161837,0.09333333333333334,0.597533323155476,0.3805491137602072,0.13683179024945422,0.38551749334293095
41035,Klamath,2021,50790,841,200000,12993,67884,9571,815,441,932,2624,0.19140003535442815,0.1987005316007088,0.5027687806916727,0.8062402308524709,0.17155555555555554,0.8406816472502114,0.8390734179836706,0.4292465514315031,0.6173594806146824
41051,Multnomah,2021,76290,1394,437600,100997,795930,153735,13363,9661,14133,38253,0.12689181209402836,0.2192685804168305,0.49051940026669266,0.4229890585547673,0.6631111111111111,0.4532666559361036,0.8093597719533802,0.5835613889970492,0.5864575973104823
41043,Linn,2021,63313,1087,265900,14739,124678,16355,1385,1086,1756,3555,0.11821652577038451,0.2060240392968269,0.47581779272393765,0.6180263316099555,0.39022222222222225,0.40116576389704034,0.7736976937546469,0.48419225438270724,0.5334608531733144
41021,Gilliam,2021,51705,1036,122600,228,1933,227,20,7,12,24,0.11795137092602173,0.24044096315636784,0.2775330396475771,0.792488277022965,0.3448888888888889,0.3995733318545234,0.2927131246004792,0.7424103314775028,0.5144147907688719
41007,Clatsop,2021,61846,994,340700,3993,40215,6484,530,372,464,1534,0.09929130921298022,0.19286615140833685,0.4472547809993831,0.6400745461103763,0.3075555555555556,0.28750719080926945,0.7044116408689286,0.38547324849302417,0.4650044363674308
41005,Clackamas,2021,88517,1447,452200,31168,415695,45605,3605,2993,4133,12273,0.0749780488098245,0.19616570828202493,0.5044183751781602,0.23922387880245277,0.7102222222222222,0.14148981361561586,0.8430748829528745,0.4102286634355615,0.46884789220574535
41061,Union,2021,55227,888,206200,3632,25607,3448,327,121,146,699,0.14183621665950716,0.19294910098321474,0.375,0.7395545268726704,0.21333333333333335,0.5430177926486791,0.5291413078295886,0.38609558998432697,0.48222851013371965
41003,Benton,2021,68732,1201,384900,16255,89001,16532,1041,1101,1458,5643,0.1826383973213784,0.2096839899901065,0.5590975078635374,0.5365817001322593,0.4915555555555556,0.7880621554875997,0.9757115010909897,0.5116515774220741,0.6607124979376957
41033,Josephine,2021,51733,989,303500,13965,86479,11014,1084,884,861,3221,0.1614842909839383,0.22940869464365105,0.5493008897766479,0.7920674522063245,0.3031111111111111,0.6610176097109365,0.9519475855272154,0.6596391002956238,0.6735565717702422
41023,Grant,2021,51100,717,160100,1087,7059,768,45,41,26,98,0.1539878169712424,0.16837573385518592,0.2734375,0.8015810989539498,0.06133333333333333,0.6159962733955419,0.28277846577128996,0.2017302575844925,0.3926838858077215
41001,Baker,2021,46922,717,190100,2252,15952,1980,132,100,100,510,0.14117352056168506,0.18336814287541026,0.42525252525252527,0.8643741733798245,0.06133333333333333,0.5390378597036145,0.651040187256725,0.3142130304209092,0.4859997168188812
41047,Marion,2021,64880,1129,293800,44858,334636,47012,3825,3801,4021,11414,0.13405013208381644,0.2088162762022195,0.4905343316600017,0.5944751713358183,0.4275555555555556,0.49625715135670506,0.8093959914289888,0.5051414260008943,0.5665650591355924
41045,Malheur,2021,47906,714,162100,5360,27562,3957,198,225,221,570,0.1944706479936144,0.17885024840312277,0.30679807935304526,0.8495851869664542,0.058666666666666666,0.8591227282289462,0.3637021053245466,0.28031685690138425,0.48227870881759954
41019,Douglas,2021,52479,899,224400,15112,109312,13386,1125,790,1059,2419,0.13824648711943793,0.2055679414622992,0.402883609741521,0.7808554767343994,0.22311111111111112,0.5214590677560087,0.5967793173583572,0.4807703127158842,0.5205950571351521
41055,Sherman,2021,53606,850,157800,215,1782,212,4,8,6,22,0.12065095398428732,0.19027720777524904,0.18867924528301888,0.7639172778646146,0.17955555555555555,0.4157861322419696,0.07717812588228898,0.36604931480938013,0.36049728127076175
41065,Wasco,2021,57853,881,253700,2539,26134,3537,156,112,247,731,0.09715313384862631,0.1827390109415242,0.3522759400621996,0.7000871708548755,0.2071111111111111,0.27466601881069536,0.47401895470338906,0.30949287475359927,0.39307522604673406
